N_unmapped	913527	913527	913527
N_multimapping	996660	996660	996660
N_noFeature	142751	175864	2825101
N_ambiguous	191105	27719	1528
AT1G30814	4	4	0
AT1G78930	4	4	2
AT1G71695	0	0	0
AT1G58983	0	0	0
AT1G12980	0	0	0
AT1G45223	0	0	0
AT1G56250	0	0	0
AT1G66852	0	0	0
AT1G69810	0	0	5
AT1G72450	0	0	0
AT1G76280	21	21	0
AT1G65630	0	0	0
AT1G71390	0	0	4
AT1G56233	0	0	0
AT1G15210	0	0	0
AT1G15250	149	149	0
AT1G79700	0	0	0
AT1G62895	0	0	0
AT1G73360	6	6	0
AT1G16360	0	0	0
AT1G10225	0	0	0
AT1G26670	38	38	0
AT1G34855	0	0	0
AT1G52200	0	0	2
AT1G57800	0	0	0
AT1G69460	93	93	0
AT1G04310	15	3	12
AT1G08080	38	38	0
AT1G75550	2	2	0
AT1G71890	98	100	2
AT1G05430	138	138	0
AT1G80870	9	9	0
AT1G75310	42	42	0
AT1G02010	0	0	0
AT1G47900	11	11	0
AT1G14315	0	0	1
AT1G26760	23	23	1
AT1G05250	0	0	0
AT1G67260	0	0	0
AT1G24575	0	0	0
AT1G12790	10	10	0
AT1G04850	576	576	1
AT1G31760	10	10	1
AT1G33250	1	1	1
AT1G74000	533	542	0
AT1G55580	0	0	0
AT1G53903	0	0	0
AT1G19715	0	0	0
AT1G69430	8	8	0
AT1G53340	0	0	0
AT1G29890	51	51	0
AT1G80290	19	19	0
AT1G56540	16	0	17
AT1G48650	17	17	0
AT1G22670	8	8	0
AT1G07030	98	98	2
AT1G69860	0	0	0
AT1G10120	0	0	0
AT1G43650	0	0	0
AT1G09960	0	0	0
AT1G51990	0	0	0
AT1G53625	0	0	0
AT1G63360	0	0	0
AT1G33330	13	13	0
AT1G74929	0	0	0
AT1G63430	0	0	0
AT1G80720	95	95	0
AT1G69770	2	2	0
AT1G08460	17	17	1
AT1G78710	1138	1137	1
AT1G08610	3	3	0
AT1G17540	0	0	0
AT1G27380	0	0	0
AT1G58643	0	0	0
AT1G48953	2	2	0
AT1G51440	0	0	0
AT1G18871	0	0	0
AT1G25210	0	0	0
AT1G21610	36	37	58
AT1G79710	5	5	0
AT1G80840	0	0	1
AT1G71300	0	0	0
AT1G49490	0	0	0
AT1G23645	0	0	0
AT1G09795	298	298	0
AT1G48690	0	0	0
AT1G49570	0	0	0
AT1G68470	1	0	1
AT1G75580	0	0	0
AT1G26400	0	0	0
AT1G72980	0	0	0
AT1G59970	16	16	0
AT1G11520	0	0	0
AT1G30640	23	23	0
AT1G26440	3	3	0
AT1G51320	0	0	0
AT1G22070	0	0	0
AT1G26700	0	0	0
AT1G73603	5991	5999	0
AT1G55650	11	11	0
AT1G78180	28	28	0
AT1G55928	0	0	0
AT1G29880	217	219	0
AT1G53645	184	185	0
AT1G06240	29	29	0
AT1G72330	0	0	0
AT1G20840	1	1	0
AT1G45050	27	27	0
AT1G52500	72	72	0
AT1G10430	21	21	0
AT1G05670	6	6	0
AT1G64110	0	0	0
AT1G65220	207	207	0
AT1G13635	0	0	0
AT1G54950	0	0	0
AT1G55730	8	8	0
AT1G07310	87	87	0
AT1G77230	63	67	0
AT1G52400	0	6	0
AT1G16430	127	127	0
AT1G27752	22	22	0
AT1G14880	0	0	0
AT1G11190	0	0	1
AT1G43100	0	0	0
AT1G26650	2	2	0
AT1G54420	0	0	0
AT1G34640	0	0	0
AT1G50310	0	0	0
AT1G49430	0	0	0
AT1G74240	84	84	0
AT1G01760	6	6	3
AT1G61160	0	0	0
AT1G47480	0	0	0
AT1G65820	588	588	6
AT1G22900	0	0	0
AT1G76820	22	22	2
AT1G52080	0	0	0
AT1G35180	0	0	0
AT1G30070	280	280	0
AT1G35210	0	0	0
AT1G10410	18	18	0
AT1G73740	0	0	0
AT1G53350	0	0	0
AT1G34110	93	86	7
AT1G17240	8	6	2
AT1G61730	3	3	0
AT1G29260	176	176	0
AT1G33890	0	0	0
AT1G08040	114	114	1
AT1G63522	261	261	0
AT1G08810	0	0	1
AT1G09210	597	603	5
AT1G70080	0	0	0
AT1G10522	699	699	1
AT1G04570	16	16	0
AT1G01830	1	1	0
AT1G12340	0	0	0
AT1G67590	0	0	0
AT1G69080	4	4	0
AT1G31400	1	1	0
AT1G74385	0	0	15
AT1G73300	1	1	0
AT1G05760	0	0	0
AT1G30530	0	0	0
AT1G12480	0	0	1
AT1G76850	0	0	0
AT1G73570	3	3	0
AT1G44130	277	277	0
AT1G67340	353	360	0
AT1G80315	0	0	0
AT1G43666	0	0	0
AT1G08630	129	129	0
AT1G66150	0	0	1
AT1G04640	55	55	0
AT1G56500	29	29	0
AT1G12615	0	0	0
AT1G77120	1121	1122	3
AT1G50590	0	0	0
AT1G17147	2	2	0
AT1G44740	82	54	28
AT1G08005	0	0	0
AT1G24380	32	32	0
AT1G60787	0	0	1
AT1G26796	0	0	0
AT1G68500	0	0	0
AT1G15500	125	125	0
AT1G77760	30	25	5
AT1G24062	0	0	0
AT1G53510	0	0	0
AT1G51410	1	0	22
AT1G50020	0	0	0
AT1G22370	0	0	0
AT1G53265	0	0	0
AT1G17270	36	36	0
AT1G74350	0	0	0
AT1G75230	45	44	1
AT1G29150	201	201	0
AT1G17140	0	0	0
AT1G08380	521	532	0
AT1G43560	46	46	0
AT1G07700	0	0	0
AT1G33750	0	0	0
AT1G61270	0	0	0
AT1G14750	0	0	0
AT1G05900	68	0	68
AT1G44120	0	0	31
AT1G52990	0	0	0
AT1G37130	1	0	1
AT1G48175	245	245	0
AT1G72140	10	7	4
AT1G66465	0	0	0
AT1G43260	0	0	0
AT1G14420	0	0	0
AT1G01710	118	115	3
AT1G44000	91	91	0
AT1G73960	19	19	0
AT1G11360	132	132	0
AT1G04490	0	0	0
AT1G78476	0	0	0
AT1G15310	88	93	0
AT1G13300	0	0	0
AT1G55530	55	55	0
AT1G47350	0	0	0
AT1G74458	0	0	0
AT1G32120	0	0	0
AT1G17260	0	0	0
AT1G32660	0	0	33
AT1G31480	0	0	0
AT1G17500	0	0	0
AT1G50780	0	0	0
AT1G21150	0	0	0
AT1G78110	0	0	0
AT1G80080	0	0	0
AT1G23260	0	0	0
AT1G09790	0	0	1
AT1G60270	0	0	0
AT1G25400	0	0	0
AT1G77980	0	0	0
AT1G43140	0	0	0
AT1G42470	0	0	0
AT1G34170	0	0	0
AT1G56150	2	1	1
AT1G75520	0	0	10
AT1G53890	0	0	0
AT1G43722	0	0	0
AT1G73370	39	5	34
AT1G01230	151	151	0
AT1G70700	3	0	3
AT1G02380	0	0	0
AT1G48870	20	18	2
AT1G69280	5	3	2
AT1G36950	0	0	0
AT1G12430	5	0	5
AT1G56320	0	0	0
AT1G50880	0	0	0
AT1G36310	37	37	0
AT1G44830	0	0	0
AT1G01300	62	62	0
AT1G48050	17	17	0
AT1G36925	0	0	0
AT1G30670	0	0	0
AT1G22180	0	0	0
AT1G17450	0	0	0
AT1G61630	36	35	1
AT1G28590	0	0	0
AT1G79670	69	69	0
AT1G68170	0	0	0
AT1G60080	93	93	0
AT1G51240	798	798	0
AT1G07130	0	7	31
AT1G42525	0	0	0
AT1G64355	43	43	0
AT1G04820	4	5	0
AT1G71866	0	0	0
AT1G33050	45	45	0
AT1G77810	10	10	0
AT1G16210	352	353	0
AT1G34580	0	0	0
AT1G02050	0	0	0
AT1G66500	21	21	0
AT1G04030	128	131	4
AT1G32480	0	0	0
AT1G29370	1	1	0
AT1G18880	2	2	29
AT1G50740	263	263	0
AT1G02580	576	576	0
AT1G58220	0	0	0
AT1G07350	41	41	0
AT1G06950	194	197	1
AT1G19200	11	11	0
AT1G52140	0	0	0
AT1G18550	30	30	0
AT1G77510	11691	11799	21
AT1G52430	0	0	0
AT1G15950	137	562	1
AT1G67850	59	59	0
AT1G69620	975	977	2
AT1G49110	0	0	0
AT1G57860	660	664	0
AT1G63160	38	38	0
AT1G71050	0	0	0
AT1G28510	245	245	0
AT1G48240	27	27	0
AT1G71140	0	0	0
AT1G66960	0	0	0
AT1G36370	34	34	0
AT1G58242	0	0	0
AT1G63370	0	1	0
AT1G56110	313	313	14
AT1G14510	84	83	1
AT1G19010	2	2	1
AT1G54250	113	113	0
AT1G55170	18	18	0
AT1G70230	0	0	0
AT1G52830	0	0	0
AT1G45015	0	0	0
AT1G23160	0	0	0
AT1G67510	0	0	0
AT1G08230	95	77	18
AT1G67780	0	0	1
AT1G76830	0	0	1
AT1G04280	42	42	0
AT1G55020	0	0	0
AT1G48970	25	26	0
AT1G79420	0	0	0
AT1G70350	34	34	0
AT1G35375	0	0	0
AT1G28306	0	0	0
AT1G12450	2	2	0
AT1G57660	1965	1963	2
AT1G19086	0	0	0
AT1G05870	6	6	0
AT1G07540	0	0	0
AT1G78820	4	4	0
AT1G03790	0	0	0
AT1G02220	0	0	0
AT1G74420	0	0	0
AT1G68700	9	9	0
AT1G64820	0	0	0
AT1G56680	0	0	0
AT1G58848	0	0	0
AT1G23985	0	0	0
AT1G22140	118	118	0
AT1G75210	88	88	0
AT1G30330	0	0	15
AT1G77200	0	0	6
AT1G30360	18	18	0
AT1G75280	53	53	0
AT1G18200	25	0	25
AT1G55680	25	25	0
AT1G34000	520	521	0
AT1G04410	2024	2027	0
AT1G45243	0	0	0
AT1G21650	35	35	0
AT1G28520	18	18	0
AT1G14048	0	0	0
AT1G05220	0	0	0
AT1G63245	0	0	0
AT1G66180	11	11	0
AT1G07790	24	24	0
AT1G07720	0	0	0
AT1G16420	14	14	0
AT1G72740	44	44	0
AT1G05060	84	84	0
AT1G55960	17	17	8
AT1G32060	280	280	0
AT1G77700	0	0	0
AT1G75510	126	127	0
AT1G54090	0	0	0
AT1G26520	0	1	0
AT1G15240	65	65	21
AT1G07980	65	65	0
AT1G01740	5	5	0
AT1G62914	14	14	0
AT1G53090	30	29	1
AT1G08540	74	74	0
AT1G12460	3	2	1
AT1G06250	0	0	0
AT1G52827	0	0	0
AT1G47690	0	0	0
AT1G49590	23	23	0
AT1G06280	0	0	0
AT1G78420	22	22	0
AT1G08465	0	0	0
AT1G32970	0	0	0
AT1G28815	0	0	0
AT1G01260	35	13	22
AT1G26815	0	0	0
AT1G16730	0	0	0
AT1G08700	125	130	0
AT1G66590	213	213	0
AT1G09550	1	1	0
AT1G16370	155	155	22
AT1G80730	0	0	0
AT1G11420	0	0	0
AT1G61210	0	0	0
AT1G57980	0	0	0
AT1G15140	269	269	0
AT1G04810	67	67	1
AT1G67070	0	0	18
AT1G53270	0	0	1
AT1G04550	56	56	0
AT1G44940	0	0	0
AT1G47810	0	0	0
AT1G27450	1187	1201	0
AT1G33055	177	178	0
AT1G69400	0	0	0
AT1G51920	0	0	0
AT1G56000	1	1	18
AT1G42540	33	32	1
AT1G08100	0	0	0
AT1G29465	4	4	0
AT1G75960	0	0	0
AT1G63420	0	0	0
AT1G29470	108	108	0
AT1G48310	38	38	0
AT1G32930	30	0	30
AT1G63880	1	0	1
AT1G04630	310	310	0
AT1G27150	173	172	1
AT1G79110	0	0	0
AT1G68490	34	34	0
AT1G06040	26	150	0
AT1G18970	4	4	0
AT1G72430	131	131	7
AT1G03040	59	59	0
AT1G28250	159	159	0
AT1G66630	0	0	0
AT1G10530	0	0	0
AT1G24090	89	89	0
AT1G09640	612	616	1
AT1G14080	0	0	0
AT1G78760	118	118	0
AT1G44542	0	0	0
AT1G49350	22	22	0
AT1G47240	15	15	0
AT1G28430	0	0	0
AT1G12190	0	0	0
