N_unmapped	828054	828054	828054
N_multimapping	3134217	3134217	3134217
N_noFeature	464853	604405	8707702
N_ambiguous	469976	106063	4119
AT1G30814	40	38	2
AT1G78930	0	0	1
AT1G71695	0	0	0
AT1G58983	0	0	0
AT1G12980	0	0	0
AT1G45223	0	0	0
AT1G56250	19	0	19
AT1G66852	0	0	0
AT1G69810	0	0	0
AT1G72450	2	0	2
AT1G76280	242	242	0
AT1G65630	0	0	1
AT1G71390	0	0	0
AT1G56233	85	0	85
AT1G15210	0	0	1
AT1G15250	416	348	68
AT1G79700	0	0	0
AT1G62895	0	0	0
AT1G73360	69	69	1
AT1G16360	0	0	1
AT1G10225	0	0	0
AT1G26670	77	77	0
AT1G34855	0	0	0
AT1G52200	0	0	0
AT1G57800	0	0	0
AT1G69460	134	195	0
AT1G04310	235	236	59
AT1G08080	0	0	0
AT1G75550	1	1	0
AT1G71890	1368	1369	0
AT1G05430	236	237	0
AT1G80870	30	30	0
AT1G75310	110	71	41
AT1G02010	87	87	0
AT1G47900	34	34	0
AT1G14315	59	0	60
AT1G26760	0	0	0
AT1G05250	0	0	0
AT1G67260	0	0	0
AT1G24575	0	0	0
AT1G12790	61	61	0
AT1G04850	1263	1266	0
AT1G31760	43	43	45
AT1G33250	71	71	7
AT1G74000	677	722	1
AT1G55580	0	0	0
AT1G53903	0	0	0
AT1G19715	3	3	0
AT1G69430	152	152	0
AT1G53340	0	0	0
AT1G29890	229	229	0
AT1G80290	189	165	43
AT1G56540	0	0	1
AT1G48650	280	283	33
AT1G22670	87	87	0
AT1G07030	392	378	15
AT1G69860	0	0	0
AT1G10120	0	0	0
AT1G43650	0	0	3
AT1G09960	0	0	0
AT1G51990	0	0	0
AT1G53625	0	0	0
AT1G63360	0	0	0
AT1G33330	94	94	0
AT1G74929	0	0	0
AT1G63430	84	84	0
AT1G80720	258	258	0
AT1G69770	221	221	0
AT1G08460	13	11	56
AT1G78710	3347	3461	0
AT1G08610	207	207	0
AT1G17540	0	0	0
AT1G27380	0	0	2
AT1G58643	0	0	0
AT1G48953	0	0	0
AT1G51440	3	0	3
AT1G18871	0	0	0
AT1G25210	0	0	0
AT1G21610	384	384	1
AT1G79710	143	144	0
AT1G80840	0	0	0
